CORPORATE_IDENTIFICATION_NUMBER;COMPANY_NAME;COMPANY_STATUS;COMPANY_CLASS;COMPANY_CATEGORY;COMPANY_SUB_CATEGORY;DATE_OF_REGISTRATION;REGISTERED_STATE;AUTHORIZED_CAP;PAIDUP_CAPITAL;INDUSTRIAL_CLASS;PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN;REGISTERED_OFFICE_ADDRESS;REGISTRAR_OF_COMPANIES;EMAIL_ADDR;LATEST_YEAR_ANNUAL_RETURN;LATEST_YEAR_FINANCIAL_STATEMENT
L24296GJ1994PLC021524;VIKRAM THERMO (INDIA) LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;11-3-1994;Gujarat;70000000.0;62715700.0;24296.0;Manufacturing;A/704-714 THE CAPITALSCIENCE CITY ROAD  ;ROCÂ AHMEDABAD;legal@vikramthermo.com;31-3-2019;31-3-2019
L24298GJ1995PLC024729;SAPAN CHEMICALS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;22-2-1995;Gujarat;90000000.0;80000000.0;24298.0;Manufacturing;B-1 Sadguru Complex NR. Rupal ParkGotri Road, Village  ;ROCÂ AHMEDABAD;relations@sapanchem.com;31-3-2018;31-3-2018
L24299GJ1959PLC000918;CELLULOSE PRODUCTS OF INDIA LIMITED   ;ULQD;Public;Company limited by Shares;Non-govt company;14-4-1959;Gujarat;70000000.0;53750000.0;24299.0;Manufacturing;A-5, MUKTANAND PARKJAMFALWADI  ;ROCÂ AHMEDABAD;mehtahurkat@hotmail.com;31-3-2007;31-3-2007
L24299GJ1971PLC093248;ORIENT ABRASIVES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;12-11-1971;Gujarat;180000000.0;119639200.0;24299.0;Manufacturing;GIDC Industrial Area   ;ROCÂ AHMEDABAD;investor@oalmail.co.in;31-3-2019;31-3-2019
L24299GJ1980PLC101976;SAPTAK CHEM AND BUSINESS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;12-3-1980;Gujarat;110000000.0;107221110.0;24299.0;Manufacturing;3, Mohan Chamber,Beside Post Office,  ;ROCÂ AHMEDABAD;info@saptakchem.com;31-3-2019;31-3-2019
L24299GJ1992PLC018210;NATURAL BIOCON (INDIA) LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;27-8-1992;Gujarat;120000000.0;113728000.0;24299.0;Manufacturing;Cabin No. 1, C/309, Ganesh Meridian,Opp. Gujarat High Court, S. G. Highway,  ;ROCÂ AHMEDABAD;info@naturalbiocon.in;31-3-2019;31-3-2019
L24304GJ2017PLC099781;MAHICKRA CHEMICALS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;13-11-2017;Gujarat;110000000.0;81221600.0;24304.0;Manufacturing;Plot No. 1209, Phase 3GIDC Vatva,  ;ROCÂ AHMEDABAD;info@mahickra.com;31-3-2019;31-3-2019
L24304GJ2018PLC105479;GUJARAT FLUOROCHEMICALS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;6-12-2018;Gujarat;200000000.0;109850000.0;24304.0;Manufacturing;Survey No 16/3, 26 & 27Taluka Ghoghamba  ;ROCÂ AHMEDABAD;bvdesai@gfl.co.in;31-3-2019;31-3-2019
L25111GJ1989PLC013041;CAMEX LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;22-11-1989;Gujarat;110000000.0;102087000.0;25111.0;Manufacturing;CAMEX HOUSE, 2ND FLOORSTADIUM - COMMERCE ROAD, NAVRANGPURA  ;ROCÂ AHMEDABAD;cs@camexltd.com;31-3-2019;31-3-2019
L25112GJ1995PLC086579;INNOVATIVE TYRES & TUBES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;28-11-1995;Gujarat;190000000.0;179915610.0;25112.0;Manufacturing;1201,1202, 1203 - GIDC HALOLPANCHMAHALS,  ;ROCÂ AHMEDABAD;cs@innovativetyres.co.in;31-3-2019;31-3-2019
L25190GJ1991PLC016327;MAHALAXMI RUBTECH LTD   ;ACTV;Public;Company limited by Shares;Non-govt company;25-9-1991;Gujarat;250000000.0;133202750.0;25190.0;Manufacturing;47 NEW CLOTH MARKET O/SRAIPURA GATE   ;ROCÂ AHMEDABAD;mfm@mahalaxmigroup.net;31-3-2019;31-3-2019
L25191GJ1974PLC002555;GRP LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;29-6-1974;Gujarat;15000000.0;13333330.0;25191.0;Manufacturing;PLOT NO.8,GIDC ESTATE   ;ROCÂ AHMEDABAD;ganesh.ghangurde@grpweb.com;31-3-2019;31-3-2019
L25191GJ1990PLC017657;RISHIROOP RUBBER (INTERNATIONAL) LIMITED   ;AMAL;Public;Company limited by Shares;Non-govt company;5-11-1990;Gujarat;250000000.0;118398570.0;25191.0;Manufacturing;PLOT NO-5807/08,G I D CINDUSTRIAL ESTATE  ;ROCÂ AHMEDABAD;akapoor@rishiroop.com;31-3-2014;31-3-2014
L25191GJ1994PLC022698;SHREE RUBBER INDUSTRIES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;8-8-1994;Gujarat;70000000.0;55713500.0;25191.0;Manufacturing;BLOCK NO 104SHIVANAD INDUSTRIAL ESTATEPALSANA  ;ROCÂ AHMEDABAD;k_dalal@rediffmail.com;31-3-2010;31-3-2010
L25191GJ2010PLC059094;CAPTAIN PIPES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;5-1-2010;Gujarat;50000000.0;41585600.0;25191.0;Manufacturing;SURVEY NO-257, PLOT NO. 23 TO 28,N.H. NO. 8-B, SHAPAR (VERAVAL), RAJKOT  ;ROCÂ AHMEDABAD;account@captainpipes.com;31-3-2019;31-3-2019
L25199GJ1986PLC009071;TIRUPATI FOAM LTD   ;ACTV;Public;Company limited by Shares;Non-govt company;14-10-1986;Gujarat;46000000.0;44070000.0;25199.0;Manufacturing;TIRUPATI HOUSE, 4TH FLOOR, NR. TOPAZ RESTAURANT,UNIVERSITY ROAD, POLYTECHNIC CHAR RASTA, AMBAWADI,  ;ROCÂ AHMEDABAD;tirufoam@tirupatifoam.com;31-3-2019;31-3-2019
L25200GJ1973PLC002436;INEOS STYROLUTION INDIA LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;7-12-1973;Gujarat;500000000.0;175856250.0;25200.0;Manufacturing;5th Floor, Ohm House - II,Ohm Business Park,  ;ROCÂ AHMEDABAD;INSTY.secshare@ineos.com;31-3-2019;31-3-2019
L25200GJ1981PLC004375;ECOPLAST LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;7-5-1981;Gujarat;100000000.0;30000000.0;25200.0;Manufacturing;N H ROAD NO 8 WATER WORKSCROSS ROAD ABRAMA  ;ROCÂ AHMEDABAD;Antony@ecoplastindia.com;31-3-2019;31-3-2019
L25200GJ1984PLC050560;GOPALA POLYPLAST LTD   ;ACTV;Public;Company limited by Shares;Non-govt company;11-6-1984;Gujarat;210000000.0;101663920.0;25200.0;Manufacturing;PLOT NO.485, SANTEJ VADSAR ROAD,SANTEJ, TAL. KALOL  ;ROCÂ AHMEDABAD;cs@gopalapolyplast.com;31-3-2019;31-3-2019
L25200GJ1985PLC007746;PROMACT IMPEX LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;26-3-1985;Gujarat;70000000.0;65118000.0;25200.0;Manufacturing;106, HARIKRUPA CHAMBERS, B/H NATIONAL CHAMBERS,ASHRAM ROAD  ;ROCÂ AHMEDABAD;prabhu26_12@yahoo.com;31-3-2019;31-3-2019
L25200GJ1988PLC010514;PURITY FLEXPACK LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;30-3-1988;Gujarat;60000000.0;10734000.0;25200.0;Manufacturing;AT & POST VANSETI NR BASKAHALOL   ;ROCÂ AHMEDABAD;sales@purityflexpack.com;31-3-2019;31-3-2019
L25200GJ1992PLC017505;BARODA POLY PLAST LTD   ;ACTV;Public;Company limited by Shares;Non-govt company;27-4-1992;Gujarat;60000000.0;33491000.0;25200.0;Manufacturing;508, SHRIRAM CHAMBERSR C, DUTT ROAD, ALKAPURI  ;ROCÂ AHMEDABAD;m3globalfinance@gmail.com;31-3-2017;31-3-2017
