CORPORATE_IDENTIFICATION_NUMBER;COMPANY_NAME;COMPANY_STATUS;COMPANY_CLASS;COMPANY_CATEGORY;COMPANY_SUB_CATEGORY;DATE_OF_REGISTRATION;REGISTERED_STATE;AUTHORIZED_CAP;PAIDUP_CAPITAL;INDUSTRIAL_CLASS;PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN;REGISTERED_OFFICE_ADDRESS;REGISTRAR_OF_COMPANIES;EMAIL_ADDR;LATEST_YEAR_ANNUAL_RETURN;LATEST_YEAR_FINANCIAL_STATEMENT
L21010GJ1995PLC025135;SHREE AJIT PULP AND PAPER LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;23-3-1995;Gujarat;150000000.0;53567000.0;21010.0;Manufacturing;SURVEY NO. 239, NEAR MORAI RAILWAY CROSSING,VILLAGE SALVAV, VIA-VAPI,  ;ROC AHMEDABAD;SHREEAJIT@SHREEAJIT.COM;31-3-2019;31-3-2019
L21012GJ1961PLC001073;SPECIALITY PAPERS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;18-7-1961;Gujarat;250000000.0;1561641360.0;21012.0;Manufacturing;MORAINATIONAL HIGHWAY   ;ROC AHMEDABAD;csspeciality@gmail.com;31-3-2019;31-3-2019
L21090GJ2010PLC063428;ASTRON PAPER & BOARD MILL LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;29-12-2010;Gujarat;500000000.0;465000000.0;21090.0;Manufacturing;D-702, SEVENTH  FLOORGANESH MERIDEN, OPP:- HIGH COURT, S.G.HIGHWAY  ;ROC AHMEDABAD;cs@astronpaper.com;31-3-2019;31-3-2019
L21093GJ1991PLC057244;SHREE RAJESHWARANAND PAPER MILLS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;20-3-1991;Gujarat;130000000.0;124500000.0;21093.0;Manufacturing;BHARUCH JHAGADIA ROADGOVALI  ;ROC AHMEDABAD;s_rajeshwaranand@hotmail.com;31-3-2019;31-3-2019
L21100GJ1991PLC016644;DIVINE MULTIMEDIA(INDIA) LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;20-11-1991;Gujarat;200000000.0;66920000.0;21100.0;Manufacturing;1st Floor, 101/2, Panorama Complex, R C Dutt Road,Alkapuri  ;ROC AHMEDABAD;divinemultimedialtd@gmail.com;31-3-2015;31-3-2015
L21308GJ1989PLC012743;GUJARAT POLY ELECTRONICS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;14-9-1989;Gujarat;220000000.0;183650000.0;21308.0;Manufacturing;B-18, Gandhinagar Electronic Estate   ;ROC AHMEDABAD;gpel@kilachand.com;31-3-2019;31-3-2019
L22100GJ1993PLC020382;LIPPI SYSTEMS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;8-10-1993;Gujarat;100000000.0;70000000.0;22100.0;Manufacturing;3RD FLOOR, SATYA COMPLEX, NR ASHWAMEGH IV,132 FT RING ROAD, SATELLITE ROAD,  ;ROC AHMEDABAD;cs@lippisystems.com;31-3-2019;31-3-2019
L22100GJ1995PLC024944;SUNGOLD MEDIA AND ENTERTAINMENT LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;9-3-1995;Gujarat;50000000.0;50000000.0;22100.0;Manufacturing;13, Radhakrushna Mandir Compound,Village- Rajpipla  ;ROC AHMEDABAD;info@sungoldmediaent.com;31-3-2019;31-3-2019
L22121GJ1943PLC000183;THE SANDESH LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;11-3-1943;Gujarat;150000000.0;75694210.0;22121.0;Manufacturing;SANDESH BHAVAN, LAD SOCIETY ROAD,B/H VASTRAPUR GAM, P.O.BODAKDEV  ;ROC AHMEDABAD;cs@sandesh.com;31-3-2019;31-3-2019
L22122GJ1988PLC010503;HI-TECH WINDING SYSTEMS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;25-3-1988;Gujarat;60000000.0;48579000.0;22122.0;Manufacturing;08 / GOKUL COMPLEX, OPP. NAGRI HOSPITAL,GUJARAT COLLEGE ROAD, ELLISBRIDGE  ;ROC AHMEDABAD;hitechwindingsystemslimited@gmail.com;31-3-2019;31-3-2019
